Query,Sentence,Status,Reason,Similarity,SimilarTo
今天适合洗车吗,麻烦告诉我明天适合洗车吗,passed,passed,,
现在几点了,麻烦告诉我现在几点了,passed,passed,,
离情人节还有多少天,帮我查下离圣诞节还有多少天,passed,passed,,
今年中秋节是几号,请帮我查一下今年中秋节是几号,passed,passed,,
大后天农历几号,帮我查一下大后天的农历日期,passed,passed,,
滕王阁序全文是啥,请告诉我赤壁赋全文内容,passed,passed,,
2025年7月11日星期几,请帮我查一下2026年8月15日是星期几,passed,passed,,
定风波谁写的,请告诉我《将进酒》的作者是谁,passed,passed,,
床前明月光的下一句,请告诉我“春眠不觉晓”的下一句,passed,passed,,
念一首宋代的诗,请给我念一首宋代的诗,passed,passed,,
低头思故乡下一句,请告诉我‘春风又绿江南岸’的下一句,passed,passed,,
北京今天限行什么号,帮我查一下上海明天限行什么号,passed,passed,,
百草枯帮我百科下,请帮我查询一下敌草快的百科信息,passed,passed,,
我的浙江车牌现在在上海高速会限行吗,请帮我查询一下浙牌在上海高速目前的限行情况,passed,passed,,
外地车苏F能走南京长江大桥吗,帮我查下外地车沪A在上海杨浦大桥的通行规则,passed,passed,,
开长途太累了，讲个故事提提神,请讲个故事提提神,passed,passed,,
麻婆豆腐的做法视频,请帮我找一下宫保鸡丁的做法视频,passed,passed,,
这一路还长，讲个故事解解闷儿,麻烦给我播放个故事解解闷,passed,passed,,
怕开车犯困，讲个精彩的故事,请播放个精彩的传说故事提提神,passed,passed,,
我女朋友带我去看什么敦煌展，你给我科普一下敦煌，好让我一会在她面前装逼,麻烦给我科普一下莫高窟的知识,passed,passed,,
开车久了心情有点烦躁 ，讲个轻松的故事,麻烦给我讲个让人放松的故事,passed,passed,,
讲个有趣的故事，在堵车时乐一乐,请在堵车时给我讲个逗趣的故事,passed,passed,,
堵车堵得心烦，讲个故事让我别那么焦虑,我现在焦虑得很，给我讲个故事缓解一下,passed,passed,,
被堵得没脾气了，讲个故事安抚我一下,被堵在路上烦躁死了，快讲个故事安抚我,passed,passed,,
堵在路上动不了了，讲个故事打发时间,请给我讲个故事解解闷,passed,passed,,
工作一整天开车回家，讲个故事放松下,工作一天太累了，放个故事让我放松放松,passed,passed,,
每天上班开车太无聊，讲个故事,请讲个故事,passed,passed,,
讲个有哲理的故事，路上思考思考,麻烦给我讲个富含哲理的故事，路上思考思考,passed,passed,,
给孩子讲个有教育意义的故事,请给孩子讲一个能带来启发的故事,passed,passed,,
堵车厉害，讲个故事让我心情好点,麻烦给我播放个故事，让我心情好点,passed,passed,,
"孩子在车上,讲个适合孩子的故事",麻烦给孩子讲个合适的故事,passed,passed,,
"讲个故事,一起讨论",给我讲个故事然后一起讨论,passed,passed,,
一家人出去玩，讲个欢乐的故事,麻烦在旅途中给我讲个欢乐的故事,passed,passed,,
"讲个充满想象力的故事,让孩子发挥想象",请讲个富有奇幻色彩的故事，让孩子展开想象,passed,passed,,
讲个能增长见识的故事,麻烦给我讲个能让我长知识的故事,passed,passed,,
讲个温馨的故事，让我享受下路上的家庭时光,麻烦播放一个温馨的故事，让我享受这惬意时光,passed,passed,,
我和我的朋友们都在车上，讲个故事活跃下气氛,麻烦给我讲个故事活跃下气氛,passed,passed,,
讲个令人难忘的故事，给这次家庭出游留下美好的回忆,麻烦讲个有趣的故事，让这次海边出游有更多美好回忆,passed,passed,,
讲个有关友情的故事，增进咱们的感情,麻烦讲个有关知己情的故事，增进咱们的感情,passed,passed,,
讲个好玩的故事，大家乐一乐,请给我讲个有趣的故事,passed,passed,,
讲个故事，开启我们的话题,请开启一个故事话题,passed,passed,,
去谈业务，有点紧张，讲个故事我缓解下,我要去面试，心里有点紧张，给我播放个故事缓解下,passed,passed,,
讲个能提升个人素养的故事,麻烦讲个有助于提升素养的故事,passed,passed,,
讲个商务谈判的故事，给我启发下思路,请给我讲个商务营销的故事，启发下思路,passed,passed,,
面对重要业务，给我讲个故事调整下心态,面对重要考试，快点给我讲个故事调整下心态,passed,passed,,
讲个能让我成长的故事,麻烦给我讲个有助于我成长的故事,passed,passed,,
今天我只能一个人出来玩，给我讲个故事排解下孤独,我独自开车好无聊，能给我讲个故事吗,passed,passed,,
讲个动人的故事，丰富下我的内心世界,请给我讲个感人的故事，充实下我的内心,passed,passed,,
开高速开得有点犯困了，给我讲个故事提提神,我在高速上有点困了，麻烦给我讲个故事提提神,passed,passed,,
讲个故事让我享受下车内独处的宁静,请播放一个故事，让我享受车内的宁静,passed,passed,,
独自开夜车有点害怕，给我讲个故事壮壮胆,独自夜里开车有点心慌，麻烦给我讲个故事壮壮胆子,passed,passed,,
讲个故事给我增添些夜晚乡间小路驾驶的安全感,麻烦给我讲个故事，让我在白天高速驾驶时更有安全感,passed,passed,,
这段路伸手不见五指，讲个故事度过这段路,麻烦讲个故事，打发一下这段路程,passed,passed,,
车外风大雨大，我的宝宝坐后排有点怕，给他讲个故事分散下注意力,宝宝有点害怕，快播放个故事安抚一下,passed,passed,,
这会车外面下大雪，车开得我有点紧张，讲个故事让我放松点,麻烦给我讲个故事放松一下，外面这暴雨下得我开车有点心慌,passed,passed,,
给我讲个中国科幻故事,麻烦给我讲个外国科幻故事,passed,passed,,
给我的宝宝讲个童话故事,请给我的宝宝讲个寓言故事,passed,passed,,
大雨天开车艰难，来个故事鼓励下我,麻烦给我播放个故事鼓励一下,passed,passed,,
天气不好，我女朋友坐副驾很担心我的驾驶技术，给她讲个故事缓解下,麻烦给我讲个寓言，现在天气不好，我女朋友坐副驾担心我的驾驶技术，缓解下她的紧张,passed,passed,,
给我讲个古代的故事,请给我讲一个古代的传说,passed,passed,,
我想听晴天小猪的故事,请给我播放白雪公主的故事,passed,passed,,
给我讲个80年代的故事,麻烦给我讲个90年代的故事,passed,passed,,
给我讲个80年代的故事,能不能给我讲个60年代的故事,passed,passed,,
给我的宝宝讲个孙悟空的故事,请给我的孩子讲个哪吒的故事,passed,passed,,
新街口附近有情调的西餐厅推荐,麻烦推荐夫子庙附近有氛围的西餐厅,passed,passed,,
附近能做正宗淮扬菜的中餐厅推荐,请帮我推荐一家附近做淮扬菜的中餐厅,passed,passed,,
周边有没有适合家庭聚餐的中餐厅推荐,帮我找找周边适合朋友聚餐的湘菜馆,passed,passed,,
情人节我想带对象去吃西餐，帮我推荐些百家湖附近的,七夕节我打算带对象去吃西餐，麻烦推荐些夫子庙附近的,passed,passed,,
周边食材新鲜的火锅店推荐,麻烦推荐一下周边的重庆火锅点,passed,passed,,
推荐百家湖附近能唱KTV的商场,请给我推荐新街口附近能唱KTV的商场,passed,passed,,
附近有儿童套餐的火锅店推荐,请给我推荐附近有儿童餐的潮汕牛肉火锅店,passed,passed,,
推荐南京奥体中心附近有包厢的中餐厅,麻烦推荐一下上海东方明珠附近有包间的西餐厅,passed,passed,,
推荐华采天地提供宝宝椅的餐厅,麻烦推荐水游城提供宝宝椅的餐厅,passed,passed,,
徐庄软件园周边能免费停车的餐厅,帮我找找中关村软件园附近能免费停车的餐厅,passed,passed,,
南京奥体附近有WiFi的餐厅推荐,麻烦推荐一下上海外滩附近有WiFi的餐厅,passed,passed,,
南京奥体附近有大桌的餐厅推荐,帮我推荐上海外滩附近有包间的餐厅,passed,passed,,
南京玄武湖附近有露天位的餐厅推荐,帮我推荐一下上海外滩附近有露天位的餐厅,passed,passed,,
百家湖附近有充电宝的餐厅推荐,麻烦推荐一下新街口附近带充电宝的餐厅,passed,passed,,
元通地铁站附近有10人以上大桌的餐厅推荐,请给我推荐奥体中心附近能容纳10人以上大桌的餐厅,passed,passed,,
新街口附近有无障碍设施的饭店推荐,麻烦推荐一下夫子庙附近有儿童游乐区的饭店,passed,passed,,
仙林湖附近可到店自提的餐厅推荐,麻烦推荐一下夫子庙附近可到店自提的餐厅,passed,passed,,
新街口附近有儿童游乐区的饭店推荐,请给我推荐新街口附近有儿童游乐区的西餐厅,passed,passed,,
这个周末我要和朋友们聚餐，8个大人，4个小宝宝，帮我推荐个仙林金鹰附近的餐厅,麻烦给我推荐一家新街口附近适合聚餐的餐厅，有8个大人和4个小宝宝,passed,passed,,
推荐仙林湖周边禁烟的餐厅,帮我推荐一下夫子庙周边禁烟的餐厅,passed,passed,,
周边可带宠物的餐厅帮忙推荐一下,麻烦推荐一下周边能让带宠物的餐厅,passed,passed,,
帮我在江宁大学城找个能吃淮扬菜然后又能和朋友开黑的地方,请帮我在河西商圈找个能吃粤菜然后又能和朋友玩桌游的地方,passed,passed,,
我手机快没电了，给我推荐个万达茂附近人家100，评分4.5以上的烤肉店,麻烦给我推荐个万象城附近人均100，评分4.5以上的韩式烤肉店,passed,passed,,
上海世纪公园附近可预约的火锅店推荐,麻烦推荐一下广州越秀公园附近可预约的火锅店,passed,passed,,
我想喝库迪，我朋友想喝茉沏，帮我们找个仙林附近的商场,麻烦帮我们找个江宁附近能喝瑞幸和喜茶的商场,passed,passed,,
我想喝咖啡，帮我在羊山公园附近找下库迪，且可以点外卖的,麻烦在人民广场附近找下瑞幸，能点外卖的,passed,passed,,
推荐周边的加油站,请给我推荐一下周边的充电桩,passed,passed,,
帮我找下红枫科技园附近半夜1点还营业的烧烤店，要能堂食的那种,请帮我导航到人民广场附近能堂食的烧烤店,passed,passed,,
附近的充电桩推荐,帮我推荐一下周边的充电站,passed,passed,,
附近有情侣座的电影院推荐,请给我推荐附近有情侣座的影剧院,passed,passed,,
推荐周边的停车场,请推荐一下周边的停车处,passed,passed,,
推荐元通地铁站附近的休闲娱乐场所,麻烦推荐奥体中心附近的休闲娱乐场所,passed,passed,,
推荐一下百家湖附近能免费停车的电影院,麻烦推荐一下新街口附近能免费停车的电影院,passed,passed,,
推荐下新街口附近可点餐的KTV,请推荐新街口附近可点餐的酒吧,passed,passed,,
推荐下新街口附近提供免费茶点的KTV,请推荐夫子庙附近提供免费小吃的KTV,passed,passed,,
帮我找附近21点还营业的，评分高于4.7的按摩店,请帮我找找附近评分高于4.8的推拿店,passed,passed,,
推荐下新街口附近提供酒水的休闲娱乐场所,麻烦推荐下夫子庙附近提供小吃的休闲娱乐场所,passed,passed,,
推荐仙林湖周边可观影的休闲娱乐场所,请帮我推荐仙林湖周边能看电影的地方,passed,passed,,
百家湖附近提供零食的休闲娱乐场所推荐,麻烦推荐一下新街口附近能提供饮品的休闲娱乐场所,passed,passed,,
新街口周边宾客不限的休闲娱乐场所推荐,请给我推荐夫子庙周边宾客不限的休闲娱乐场所,passed,passed,,
周边有共享充电宝的休闲娱乐场所推荐下,请帮我推荐周边有充电站的休闲场所,passed,passed,,
新街口附近有巨幕厅的电影院推荐,请帮我推荐夫子庙附近有4D厅的电影院,passed,passed,,
附近提供充电线的休闲娱乐场所推荐,请帮我推荐附近能充电的咖啡馆,passed,passed,,
推荐新街口周边有卡座的休闲娱乐场所,请给我推荐夫子庙周边有包间的休闲娱乐场所,passed,passed,,
推荐新街口周边有沙发位的休闲娱乐场所,帮忙推荐夫子庙附近有软椅的休闲场所,passed,passed,,
推荐新街口周边无最低消费的休闲娱乐场所,帮我推荐夫子庙周边无最低消费的休闲娱乐场所,passed,passed,,
附近有VIP影厅的电影院帮忙推荐下,麻烦推荐一下附近有巨幕影厅的电影院,passed,passed,,
天隆寺地铁站附近有娃娃机的休闲娱乐场所推荐,请推荐新街口地铁站附近有密室逃脱的娱乐场所,passed,passed,,
附近可带宠物的休闲娱乐场所推荐,帮我推荐一下附近能带着宠物去的游玩场所,passed,passed,,
新街口附近提供啤酒的休闲娱乐场所推荐,麻烦推荐夫子庙附近提供鸡尾酒的休闲娱乐场所,passed,passed,,
新街口附近有简餐的休闲娱乐场所推荐,帮我推荐夫子庙附近有小吃的休闲娱乐场所,passed,passed,,
推荐天隆寺地铁站附近有一次性洗浴用品的休闲娱乐场所,帮我推荐新街口地铁站附近有按摩服务的休闲场所,passed,passed,,
天隆寺地铁站附近有一次性毛巾的休闲娱乐场所推荐,请推荐新街口地铁站附近有一次性拖鞋的休闲娱乐场所,passed,passed,,
天隆寺地铁站附近有一次性床单的休闲娱乐场所推荐,请推荐新街口地铁站附近能提供一次性毛巾的休闲场所,passed,passed,,
推荐下天隆寺地铁站附近有儿童游乐区的休闲娱乐场所,麻烦推荐下新街口地铁站附近有儿童游乐区的休闲娱乐场所,passed,passed,,
附近有泳池的酒店推荐,请给我推荐附近带泳池的度假酒店,passed,passed,,
周边有驻唱的休闲娱乐场所推荐,帮我推荐周边有现场乐队表演的休闲场所,passed,passed,,
帮我推荐新街口有简餐、能观影还可以免费停车的休闲娱乐场所,请帮我找新街口有小吃、能唱 KTV 还可免费充电的休闲场所,passed,passed,,
周边交通便利的酒店推荐,请帮我推荐周边交通便利的旅馆,passed,passed,,
周边有棋牌室的酒店推荐,请给我推荐周边带棋牌室的宾馆,passed,passed,,
推荐玄武湖附近的五星级酒店,麻烦推荐一下西湖附近的五星级酒店,passed,passed,,
朱家尖能看到海景的民宿推荐,麻烦推荐一下普陀山能看到海景的民宿,passed,passed,,
推荐下玄武湖周边有泳池的酒店推荐,麻烦推荐下西湖周边有泳池的酒店,passed,passed,,
玄武湖周边有茶室的酒店推荐,请给我推荐莫愁湖周边有茶室的酒店,passed,passed,,
玄武湖周边有酒吧的酒店推荐,请给我推荐夫子庙周边有餐厅的酒店,passed,passed,,
玄武湖周边有咖啡厅的酒店推荐,请给我推荐一下夫子庙周边有餐厅的酒店,passed,passed,,
玄武湖周边有商务中心的酒店推荐,请推荐夫子庙周边有商务中心的酒店,passed,passed,,
推荐下玄武湖周边有健身房的酒店推荐,麻烦推荐下夫子庙周边有游泳池的酒店,passed,passed,,
推荐下玄武湖周边有KTV的酒店推荐,帮我找夫子庙周边带健身房的酒店,passed,passed,,
玄武湖周边有大堂吧的酒店推荐,麻烦推荐一下夫子庙周边有健身房的酒店,passed,passed,,
玄武湖周边有会议厅的酒店推荐,请给我推荐鸡鸣寺周边有会议厅的酒店,passed,passed,,
玄武湖周边接待外宾的酒店推荐,请帮我推荐夫子庙周边接待外宾的酒店,passed,passed,,
南京奥体中心周边提供行李寄存服务的酒店推荐,请帮我推荐上海外滩周边提供行李寄存服务的酒店,passed,passed,,
南京奥体中心周边提供租车服务的酒店推荐,请帮我推荐上海外滩周边提供租车服务的酒店,passed,passed,,
推荐下南京奥体中心附近有叫醒服务的酒店,请帮我推荐下上海外滩附近有免费早餐的酒店,passed,passed,,
推荐下南京奥体中心附近有spa服务的酒店,麻烦推荐下上海外滩附近有健身房的酒店,passed,passed,,
南京奥体中心周边提供送餐服务的酒店推荐,麻烦推荐一下上海外滩周边提供送餐服务的酒店,passed,passed,,
推荐下南京奥体中心附近有洗衣服务的酒店,麻烦推荐下上海外滩附近有免费早餐的酒店,passed,passed,,
南京奥体中心周边提供机器人服务的酒店推荐,麻烦推荐一下上海外滩附近提供智能客控服务的酒店,passed,passed,,
推荐下南京奥体中心附近能快速入住退房的酒店,麻烦推荐一下上海外滩附近能快速入住退房的酒店,passed,passed,,
推荐下南京奥体中心附近有接站服务的酒店,麻烦推荐一下上海外滩附近有免费早餐的酒店,passed,passed,,
南京奥体中心周边提供接机服务的酒店推荐,帮我推荐一下上海外滩周边提供免费早餐的酒店,passed,passed,,
推荐青岛第一海滨浴场周边有水上乐园的酒店,帮我推荐北戴河海滨浴场周边带温泉的酒店,passed,passed,,
推荐东方明珠附近有儿童乐园的酒店,请推荐外滩附近有亲子设施的酒店,passed,passed,,
南京奥体中心周边有儿童拖鞋的酒店推荐,帮我推荐一下杭州奥体博览城周边有儿童拖鞋的酒店,passed,passed,,
南京奥体中心周边提供儿童玩具的酒店推荐,麻烦推荐一下北京鸟巢周边提供儿童玩具的酒店,passed,passed,,
南京奥体中心周边有儿童牙刷的酒店推荐,帮我推荐上海外滩附近有儿童玩具的酒店,passed,passed,,
周边有母婴室的景点推荐,帮我介绍周边有母婴室的商场,passed,passed,,
帮我推荐夫子庙附近可快速入住、有机器人送餐的酒店,请帮我推荐秦淮河畔能快速入住、有机器人送餐的酒店,passed,passed,,
推荐附近有自动贩卖机的景点,请推荐附近有便利店的景点,passed,passed,,
南京安德门附近有礼品商店的景点推荐,请给我推荐上海外滩附近有礼品店的景点,passed,passed,,
附近有卫生间的自然风光景点推荐,帮我推荐附近带卫生间的人文景点,passed,passed,,
推荐附近有吸烟区的景点,麻烦推荐一下附近允许吸烟的公园,passed,passed,,
推荐南京铁心桥附近可停车的景点,麻烦推荐一下上海外滩附近可停车的景点,passed,passed,,
推荐周边有餐厅的景点,请给我推荐周边有饭店的景区,passed,passed,,
推荐周边有储物柜租赁的景点,请帮我推荐周边有寄存服务的景点,passed,passed,,
推荐附近有景区讲解的景点,麻烦推荐一下附近有讲解的景区,passed,passed,,
推荐周边可带宠物的景点,请给我推荐一些周边能带着宠物去的景点,passed,passed,,
周边提供导游服务的景点推荐,请给我推荐周边有导游服务的博物馆,passed,passed,,
推荐周边无需取票的景点,麻烦给我推荐一下周边不用取票的景区,passed,passed,,
推荐天隆寺地铁站附近免费开放的景点,请帮我推荐新街口地铁站附近免费的景点,passed,passed,,
推荐万达茂附近有保安服务的景点,请推荐万象城附近有安保措施的景点,passed,passed,,
推荐南京奥体中心周边提供轮椅租赁服务的景点,麻烦推荐一下北京鸟巢周边提供轮椅租赁服务的景点,passed,passed,,
推荐南京农业大学卫岗校区周边的5A级景点,请介绍一下复旦大学邯郸校区周边的4A级景点,passed,passed,,
推荐一些能带孩子接受爱国主义教育的地方,请给我推荐一些适合带孩子去接受爱国主义教育的博物馆,passed,passed,,
搜索一些带3岁小孩去玩能学到点东西又能户外锻炼的地方，要求由近到远排列,请搜索一些适合带5岁孩子去，既能学习又能户外锻炼的公园，按距离由近到远排列,passed,passed,,
推荐些万达茂附近的图书馆,请给我推荐些万象城附近的博物馆,passed,passed,,
帮我推荐南京奥体附近有导游和讲解的免费景点,麻烦给我推荐一下上海外滩附近有讲解的免费景点,passed,passed,,
"1.给我推荐些新街口附近的KTV
2.要量贩式的然后靠着地铁口的",帮我找找夫子庙附近的KTV,passed,passed,,
我想去采蓝莓，帮我推荐一下仙林湖周边有没有,请帮我推荐仙林湖周边的蓝莓采摘地,passed,passed,,
周边中餐厅推荐,帮我推荐一些周边西餐厅,passed,passed,,
有视频时,当存在视频的时候,passed,passed,,
点击APP窗口外空白区域,请点击APP窗口外面的区域,passed,passed,,
图片和视频都没有时,描述一下既没有图片也没有视频的情况,passed,passed,,
没有视频时,当没有视频播放的时候,passed,passed,,
去广州旅游三天行程规划,麻烦给规划一个去深圳旅游三天的行程,passed,passed,,
美食/地方菜/北京菜等支持的POI品类举例,请给我举例一些美食类的POI品类,passed,passed,,
安吉三日游行程规划,帮我做一个详细的莫干山三日游行程规划,passed,passed,,
帮我规划一下上海、南京、杭州的7日游玩的行程,请帮我规划一下苏州、无锡、宁波的7日游玩行程,passed,passed,,
丽江五日行程规划,请规划一下大理七日的行程,passed,passed,,
去上海旅游三天行程规划,请帮我规划去北京旅游三天的行程,passed,passed,,
我想暑假带孩子去西安玩7天，帮我规划一下,麻烦帮我规划一下暑假带孩子去北京玩7天的行程,passed,passed,,
帮我规划一个三天行程,请帮我规划一个三天去故宫的行程,passed,passed,,
帮我规划上海行程,帮我规划一下故宫的行程,passed,passed,,
帮我规划一个新加坡五天游玩的行程,请帮我规划一个日本七天游玩的行程,passed,passed,,
帮我规划上海三天行程,请帮我规划一下上海四天的旅行行程,passed,passed,,
广州自然风光的三日行程规划,帮我规划一下深圳自然三日游行程,passed,passed,,
帮我规划一个上海三天两晚的行程,请帮我规划一个上海四天三晚的行程,passed,passed,,
上海周末适合带孩子去哪里玩,帮我找找上海周末能带孩子去玩的地方,passed,passed,,
介绍具体景点信息,请介绍一下故宫的信息,passed,passed,,
"帮我规划一个云南五日行程
",请帮我规划一个云南的五日旅游行程,passed,passed,,
帮我规划一个北京五日行程,请帮我规划一个故宫五日行程,passed,passed,,
"帮我规划一个北京五日行程
",请帮我规划一个故宫五日行程,passed,passed,,
第一天我想去故宫,第一天我打算去颐和园,passed,passed,,
我想暑假去,请帮我规划暑假去故宫的行程,passed,passed,,
添加新的景点,请添加一个新的景点，比如故宫,passed,passed,,
明孝陵我去过了，帮我换一个,我已经去过明孝陵了，麻烦帮我换一个景点,passed,passed,,
帮我规划一个南京五日行程,请帮我规划一个南京五日的旅游行程,passed,passed,,
我想去自然风光类的景点,请帮我找个自然风光类的景点,passed,passed,,
帮我介绍下故宫,请给我介绍下颐和园,passed,passed,,
帮我规划一个北京五日行程,麻烦帮我规划一个颐和园五日行程,passed,passed,,
故宫门票多少钱,帮我查一下颐和园门票多少钱,passed,passed,,
帮我规划一个五一丽江五日行程,麻烦帮我规划一个五一去大理的五日行程,passed,passed,,
删除行程,请把行程删掉,passed,passed,,
玉龙雪山几点到几点开,帮我查下梅里雪山开放的时间是几点到几点,passed,passed,,
行程中删除添加的美食地点,请把行程里添加的麦当劳地点删掉,passed,passed,,
"我想去上海玩儿三天,有什么推荐的路线?",请给我推荐一条去上海玩三天的路线,passed,passed,,
帮我规划一下上海、南京、杭州的7日游玩的行程,麻烦给规划一下广州、深圳、珠海的7日游玩行程,passed,passed,,
帮我规划一个北京五日行程,请帮我规划一个国家大剧院五日行程,passed,passed,,
"我想带孩子在上海玩三天,可以帮我规划一下吗?",麻烦帮我规划一下我带孩子在上海玩三天的行程,passed,passed,,
"我要去南昌玩三天,帮我规划一个休闲放松的行程",麻烦帮我规划一个去九江玩三天的休闲放松行程,passed,passed,,
